popt,pcov
[0.01550646 1.61400957 0.17570194],"[[ 1.06278890e-07 -1.65928960e-08 -8.29906823e-07]
 [-1.65928960e-08  1.81715006e-05  4.62785571e-07]
 [-8.29906823e-07  4.62785571e-07  1.89975270e-05]]"
[0.01398336 1.50007251 0.18837999],"[[ 1.14703302e-07 -3.34795672e-09 -1.03651088e-06]
 [-3.34795672e-09  2.77234066e-05  1.03983124e-07]
 [-1.03651088e-06  1.03983124e-07  2.79628422e-05]]"
[0.01377941 1.39555322 0.18390525],"[[ 1.19615931e-07 -1.25640334e-10 -1.06461007e-06]
 [-1.25640334e-10  2.84081636e-05  3.68113666e-09]
 [-1.06461007e-06  3.68113666e-09  2.84191990e-05]]"
[ 0.01334631  1.31192342 -0.18828815],"[[ 1.19927411e-07 -1.28403119e-11  1.12806076e-06]
 [-1.28403119e-11  3.18301244e-05 -3.92438773e-10]
 [ 1.12806076e-06 -3.92438773e-10  3.18314607e-05]]"
[0.01337218 1.23813247 0.18518804],"[[ 1.13797862e-07 -3.30038571e-13 -1.05067475e-06]
 [-3.30038571e-13  2.91019810e-05  1.13045472e-11]
 [-1.05067475e-06  1.13045472e-11  2.91020302e-05]]"
[ 0.01282533  1.16341792 -0.19517741],"[[ 6.99565631e-08 -1.33178029e-14  7.09749577e-07]
 [-1.33178029e-14  2.16024370e-05 -1.47811777e-12]
 [ 7.09749577e-07 -1.47811777e-12  2.16024469e-05]]"
[ 0.01208088  1.08861923 -0.21177419],"[[ 3.44115872e-08 -5.42368299e-15  4.02146232e-07]
 [-5.42368299e-15  1.40988688e-05 -8.09162291e-13]
 [ 4.02146232e-07 -8.09162291e-13  1.40988744e-05]]"
[ 0.01161549  1.03974568 -0.22470069],"[[ 1.50397772e-08 -8.43814691e-15  1.93961042e-07]
 [-8.43814691e-15  7.50427061e-06 -6.30987811e-13]
 [ 1.93961042e-07 -6.30987811e-13  7.50427464e-06]]"
[ 0.0115318   1.01530138 -0.22798468],"[[ 4.91369719e-09  7.86526723e-16  6.47627421e-08]
 [ 7.86526723e-16  2.56072528e-06 -6.16268277e-14]
 [ 6.47627421e-08 -6.16268277e-14  2.56072645e-06]]"
[ 0.01178411  1.0045383  -0.22299247],"[[2.26775459e-09 1.72369022e-15 2.86086066e-08]
 [1.72369022e-15 1.08272577e-06 2.88664309e-14]
 [2.86086066e-08 2.88664309e-14 1.08272598e-06]]"
[ 0.01241684  0.99897499 -0.21035981],"[[1.66311920e-09 1.32722025e-15 1.87836896e-08]
 [1.32722025e-15 6.36443220e-07 2.24803906e-14]
 [1.87836896e-08 2.24803906e-14 6.36443228e-07]]"
[ 0.01321027  0.99489295 -0.19703667],"[[1.66190464e-09 1.23504316e-15 1.65253166e-08]
 [1.23504316e-15 4.92963452e-07 1.84814464e-14]
 [1.65253166e-08 1.84814464e-14 4.92963457e-07]]"
[ 0.01400809  0.99184089 -0.18537608],"[[1.78400560e-09 1.24757744e-15 1.57390229e-08]
 [1.24757744e-15 4.16562877e-07 1.65273841e-14]
 [1.57390229e-08 1.65273841e-14 4.16562881e-07]]"
[ 0.0151579   0.98946714 -0.17114848],"[[1.84728816e-09 1.17071835e-15 1.39051600e-08]
 [1.17071835e-15 3.14006457e-07 1.31655713e-14]
 [1.39051600e-08 1.31655713e-14 3.14006460e-07]]"
[0.01682459 0.98662689 0.15398853],"[[ 2.32992418e-09  1.36840198e-15 -1.42166644e-08]
 [ 1.36840198e-15  2.60240509e-07 -1.25219569e-14]
 [-1.42166644e-08 -1.25219569e-14  2.60240506e-07]]"
[0.01845629 0.98445011 0.14038022],"[[ 2.73650876e-09  1.43967809e-15 -1.38761189e-08]
 [ 1.43967809e-15  2.11086490e-07 -1.09024200e-14]
 [-1.38761189e-08 -1.09024200e-14  2.11086493e-07]]"
[0.02046382 0.98304728 0.12627957],"[[ 3.73242590e-09  1.76324811e-15 -1.53548448e-08]
 [ 1.76324811e-15  1.89505111e-07 -1.08180813e-14]
 [-1.53548448e-08 -1.08180813e-14  1.89505111e-07]]"
[0.02250376 0.98525918 0.11460741],"[[ 5.49184649e-09  2.42449160e-15 -1.86458220e-08]
 [ 2.42449160e-15  1.89917918e-07 -1.24247890e-14]
 [-1.86458220e-08 -1.24247890e-14  1.89917918e-07]]"
[0.02556016 0.98758675 0.10030912],"[[ 8.22819041e-09  3.15643147e-15 -2.15274652e-08]
 [ 3.15643147e-15  1.68967318e-07 -1.25893596e-14]
 [-2.15274652e-08 -1.25893596e-14  1.68967320e-07]]"
[0.02950518 0.98753966 0.08673574],"[[ 9.46505184e-09  3.17955115e-15 -1.85495096e-08]
 [ 3.17955115e-15  1.09059406e-07 -9.33492383e-15]
 [-1.85495096e-08 -9.33492383e-15  1.09059406e-07]]"
[0.03370606 0.98835094 0.07573757],"[[ 1.17161280e-08  3.43901501e-15 -1.75507519e-08]
 [ 3.43901501e-15  7.88730449e-08 -7.78131008e-15]
 [-1.75507519e-08 -7.78131008e-15  7.88730451e-08]]"
[0.03736219 0.98978749 0.06807928],"[[ 1.45165465e-08  3.80355703e-15 -1.76341425e-08]
 [ 3.80355703e-15  6.42638361e-08 -6.98419344e-15]
 [-1.76341425e-08 -6.98419344e-15  6.42638355e-08]]"
[0.04117212 0.99174424 0.06154012],"[[ 1.84894651e-08  4.41792383e-15 -1.84241611e-08]
 [ 4.41792383e-15  5.50772646e-08 -6.56181403e-15]
 [-1.84241611e-08 -6.56181403e-15  5.50772642e-08]]"
[0.04490824 0.99357554 0.05621834],"[[ 2.34048315e-08  5.12987413e-15 -1.95326978e-08]
 [ 5.12987413e-15  4.89035291e-08 -6.39838509e-15]
 [-1.95326978e-08 -6.39838509e-15  4.89035294e-08]]"
[0.04910649 0.99541836 0.0512964 ],"[[ 2.98601407e-08  5.95900844e-15 -2.07943532e-08]
 [ 5.95900844e-15  4.34430436e-08 -6.25352021e-15]
 [-2.07943532e-08 -6.25352021e-15  4.34430438e-08]]"
[ 0.05328975  0.99735798 -0.0472078 ],"[[4.58603938e-08 8.46525622e-15 2.70842817e-08]
 [8.46525622e-15 4.79863939e-08 7.50456270e-15]
 [2.70842817e-08 7.50456270e-15 4.79863938e-08]]"
[ 0.05622403  0.99885752 -0.04460164],"[[7.99592150e-08 1.41356503e-14 4.22870467e-08]
 [1.41356503e-14 6.70914902e-08 1.12332746e-14]
 [4.22870467e-08 1.12332746e-14 6.70914904e-08]]"
[ 0.05756966  1.00034937 -0.04329156],"[[1.38580648e-07 2.38687783e-14 6.94743674e-08]
 [2.38687783e-14 1.04488348e-07 1.80413504e-14]
 [6.94743674e-08 1.80413504e-14 1.04488347e-07]]"
[ 0.05772765  1.00175809 -0.04294962],"[[2.05312103e-07 3.50913675e-14 1.01835996e-07]
 [3.50913675e-14 1.51533731e-07 2.61176837e-14]
 [1.01835996e-07 2.61176837e-14 1.51533734e-07]]"
[0.05680971 1.0028761  0.04343019],"[[ 2.65820633e-07  4.65113143e-14 -1.35479253e-07]
 [ 4.65113143e-14  2.07146765e-07 -3.54460590e-14]
 [-1.35479253e-07 -3.54460590e-14  2.07146765e-07]]"
[ 0.05439725  1.0043358  -0.0452061 ],"[[3.35713581e-07 6.17298335e-14 1.85996059e-07]
 [6.17298335e-14 3.09143286e-07 5.09606744e-14]
 [1.85996059e-07 5.09606744e-14 3.09143285e-07]]"
