popt,pcov
[0.00664362 1.02272    0.39612654],"[[ 8.15383776e-09 -9.16138534e-10 -3.31149350e-07]
 [-9.16138534e-10  3.85278127e-05  1.31646173e-07]
 [-3.31149350e-07  1.31646173e-07  3.96903484e-05]]"
[ 0.00706247  1.02503544 -0.36921951],"[[ 6.50367276e-09 -3.66714972e-10  2.28988695e-07]
 [-3.66714972e-10  2.36536135e-05 -4.49422821e-08]
 [ 2.28988695e-07 -4.49422821e-08  2.39928769e-05]]"
[ 0.00747205  1.02493437 -0.34665554],"[[ 5.35753745e-09 -1.31589491e-10  1.66471710e-07]
 [-1.31589491e-10  1.53587597e-05 -1.40116783e-08]
 [ 1.66471710e-07 -1.40116783e-08  1.54594040e-05]]"
[ 0.00791899  1.02685817 -0.32498414],"[[ 4.38405939e-09 -4.35913674e-11  1.20167284e-07]
 [-4.35913674e-11  9.84045641e-06 -4.03150257e-09]
 [ 1.20167284e-07 -4.03150257e-09  9.86616439e-06]]"
[ 0.00833556  1.02655254 -0.30741609],"[[ 3.85938281e-09 -1.43471495e-11  9.49571657e-08]
 [-1.43471495e-11  6.99739888e-06 -1.17617551e-09]
 [ 9.49571657e-08 -1.17617551e-09  7.00468166e-06]]"
[ 0.00891602  1.02397314 -0.28629015],"[[ 3.18361899e-09 -2.51186744e-12  6.81612169e-08]
 [-2.51186744e-12  4.37615732e-06 -1.76665897e-10]
 [ 6.81612169e-08 -1.76665897e-10  4.37729717e-06]]"
[ 0.00975507  1.01984753 -0.26132774],"[[ 2.76374029e-09 -1.90770217e-13  4.93590443e-08]
 [-1.90770217e-13  2.64445564e-06 -1.10951400e-11]
 [ 4.93590443e-08 -1.10951400e-11  2.64453548e-06]]"
[ 0.01063682  1.01527552 -0.24008555],"[[ 2.51662387e-09 -8.44208981e-15  3.78691330e-08]
 [-8.44208981e-15  1.70951080e-06 -4.65643135e-13]
 [ 3.78691330e-08 -4.65643135e-13  1.70951518e-06]]"
[ 0.01155034  1.01112739 -0.2213555 ],"[[2.61548021e-09 1.82401308e-15 3.34164451e-08]
 [1.82401308e-15 1.28082617e-06 2.55345302e-14]
 [3.34164451e-08 2.55345302e-14 1.28082637e-06]]"
[ 0.01236566  1.00868633 -0.20722529],"[[2.62271106e-09 2.06466961e-15 2.93010495e-08]
 [2.06466961e-15 9.82058019e-07 3.40537236e-14]
 [2.93010495e-08 3.40537236e-14 9.82058033e-07]]"
[ 0.01323776  1.00601317 -0.19375448],"[[2.66255422e-09 2.04236674e-15 2.59802034e-08]
 [2.04236674e-15 7.60515157e-07 2.96241710e-14]
 [2.59802034e-08 2.96241710e-14 7.60515166e-07]]"
[ 0.01417573  1.00438679 -0.18127721],"[[2.82184609e-09 1.96696043e-15 2.40567228e-08]
 [1.96696043e-15 6.15263088e-07 2.53793599e-14]
 [2.40567228e-08 2.53793599e-14 6.15263083e-07]]"
[ 0.01502793  1.00277912 -0.17132084],"[[2.81082842e-09 1.87752568e-15 2.13625373e-08]
 [1.87752568e-15 4.87071345e-07 2.15737049e-14]
 [2.13625373e-08 2.15737049e-14 4.87071341e-07]]"
[0.01629566 1.0022563  0.1581429 ],"[[ 3.01917324e-09  1.83295114e-15 -1.95333177e-08]
 [ 1.83295114e-15  3.79127471e-07 -1.78057923e-14]
 [-1.95333177e-08 -1.78057923e-14  3.79127472e-07]]"
[0.01799379 1.00104263 0.14348102],"[[ 3.27705012e-09  1.84217266e-15 -1.74206512e-08]
 [ 1.84217266e-15  2.77822200e-07 -1.44741173e-14]
 [-1.74206512e-08 -1.44741173e-14  2.77822200e-07]]"
[0.01979398 1.00048091 0.130517  ],"[[ 3.66231604e-09  1.83726286e-15 -1.60989693e-08]
 [ 1.83726286e-15  2.12305669e-07 -1.21205192e-14]
 [-1.60989693e-08 -1.21205192e-14  2.12305666e-07]]"
[0.02191855 1.00012057 0.11785131],"[[ 4.60239994e-09  2.08287214e-15 -1.64974241e-08]
 [ 2.08287214e-15  1.77406365e-07 -1.12399758e-14]
 [-1.64974241e-08 -1.12399758e-14  1.77406361e-07]]"
[0.02437181 1.00079413 0.10598272],"[[ 5.82745051e-09  2.36242586e-15 -1.68940484e-08]
 [ 2.36242586e-15  1.46929882e-07 -1.01361491e-14]
 [-1.68940484e-08 -1.01361491e-14  1.46929883e-07]]"
[0.02729568 1.00107766 0.09451495],"[[ 6.96525896e-09  2.53910950e-15 -1.60787772e-08]
 [ 2.53910950e-15  1.11349951e-07 -8.80569831e-15]
 [-1.60787772e-08 -8.80569831e-15  1.11349951e-07]]"
[ 0.0314723   1.00071053 -0.0819498 ],"[[7.53902389e-09 2.40557002e-15 1.30870794e-08]
 [2.40557002e-15 6.81540390e-08 6.35258814e-15]
 [1.30870794e-08 6.35258814e-15 6.81540393e-08]]"
[ 0.03605974  1.00055327 -0.07146153],"[[7.68062693e-09 2.09738352e-15 1.01474200e-08]
 [2.09738352e-15 4.02194245e-08 4.14149953e-15]
 [1.01474200e-08 4.14149953e-15 4.02194243e-08]]"
[ 0.03985851  1.00020165 -0.0645491 ],"[[7.53383329e-09 1.88723321e-15 8.13381458e-09]
 [1.88723321e-15 2.63447310e-08 3.03694952e-15]
 [8.13381458e-09 3.03694952e-15 2.63447315e-08]]"
[ 0.04387994  1.00022991 -0.05850805],"[[8.35636323e-09 1.88318852e-15 7.42805121e-09]
 [1.88318852e-15 1.98085971e-08 2.51264236e-15]
 [7.42805121e-09 2.51264236e-15 1.98085970e-08]]"
[ 0.04758577  1.00031374 -0.05384518],"[[9.66294022e-09 1.99770838e-15 7.28932169e-09]
 [1.99770838e-15 1.64962866e-08 2.25917450e-15]
 [7.28932169e-09 2.25917450e-15 1.64962864e-08]]"
[ 0.05190302  1.00087754 -0.049246  ],"[[1.34027915e-08 2.55082375e-15 8.47781604e-09]
 [2.55082375e-15 1.60877001e-08 2.42163008e-15]
 [8.47781604e-09 2.42163008e-15 1.60877002e-08]]"
[ 0.05619549  1.00115127 -0.045365  ],"[[2.48812544e-08 4.39122469e-15 1.33906262e-08]
 [4.39122469e-15 2.16197547e-08 3.55059785e-15]
 [1.33906262e-08 3.55059785e-15 2.16197542e-08]]"
[ 0.05904812  1.00006338 -0.04295245],"[[5.61813672e-08 9.43136423e-15 2.72447962e-08]
 [9.43136423e-15 3.96365708e-08 6.83014140e-15]
 [2.72447962e-08 6.83014140e-15 3.96365706e-08]]"
